Puzzle,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
.69....73...51...4.......6.7.4...2..6...73....1..5.....4......2..5...71........3.,22,42,17,1,0,3,0,0,0,Intermediate,
8.....4.64..1.....29.....8...72...1.....1.6.9........2....8......6.2.3913....6...,23,37,21,2,0,1,0,0,0,Intermediate,
...........5....2.6...1895..4....3.156...3.8..2..8....35...16...9.2..4.5..1......,25,46,10,1,0,0,0,0,0,Intermediate,
...68..293..1..5....5..2..825..9.....964.....14............3281.....643..........,25,45,11,2,0,1,0,0,0,Intermediate,
96..5784......4.2...8......65..78...8....2............39..86452.....937.4..7..68.,29,50,2,0,0,0,0,0,0,Easy,
...5......423....6......2.7......9.2.1..4.37..6......45...96.43....3.5.....7.2..9,25,33,23,1,0,0,0,0,0,Intermediate,
.........1.........35..7..4..7.92..5..1.74.2....1....7342..1.5....5...6.5.9.4.3.1,27,48,6,1,1,1,0,0,0,Intermediate,
....9.6.15.4.63.7......5.......5.........7...34........1.....43...7..59..9.4..7.8,23,46,12,0,0,0,0,0,0,Easy,
1..7...6.5.....1..9..2.4...64.....25.7..3..1...25....67......5...........3..6.97.,24,52,5,0,0,0,0,0,0,Easy,
....7...........91.4....2..96.5.48..1.........8......78.4.21....2.7...15.9......8,23,36,22,0,0,0,0,0,0,Easy,
..1.6874...3147..6..........748.1.....87.6..5...45.1........2.8.....265....6..3.1,29,45,7,0,0,0,0,0,0,Easy,
..1...6..........3..7...958.8...914.9.57.1....1...58..6.9.53.......9.4.........6.,25,47,9,0,0,1,0,0,0,Intermediate,
....8........12.....93.......6.5....5..1..78.8..9....67....3.29218....3.....7.85.,25,58,10,0,0,0,0,2,2,Expert,
...643...48..........7...9...82.....53...82.7.2..7..563.......29..4......5...9...,24,73,9,1,1,2,0,2,2,Expert,
.4....9.7..2....8.379..........963....7.......6.8.......89.3.627..1.......42..71.,25,37,16,3,2,3,0,3,0,Expert,
.9...58...4......1....6.....29...4...7.69..1..1.....25....8.69.4.19......5.7.....,24,57,12,1,0,0,1,4,4,Expert,
...8...41..............9.38..1.62....72.8..943..9.7.1...8.4..6...4...789...7....3,27,49,5,0,0,0,0,0,0,Easy,
..7...5.1...4.6.29.5.....4...98..4..8...271.............85....2...2.196......4...,24,56,16,1,0,1,2,2,2,Expert,
4.2.......3.7..8.2.6.3......78.4.1.....6...8.2......7....27.....478.62.91...3....,26,31,24,1,0,0,0,0,0,Intermediate,
..........17.4...9.28.7..1..4.9.58.1.957......81...6.....85.1.........2........64,25,57,11,2,0,0,0,2,2,Expert,
......4.898.5..73.67..3.........5..3.1..7.......4...69....63...7.......5.3.1.4...,24,29,26,3,0,3,0,2,0,Expert,
..9.2..5..1.4..6..43...6.2.............8..4..8..3...1526..8....3..56.2...4......3,25,32,24,0,0,0,0,0,0,Easy,
.....4.1....6.2...41.9......41....3892.8....6.5....29.3....9.8....38...1.8..26...,27,58,14,1,1,0,0,4,2,Expert,
.....4..8.5....6.........2...2.9...6....427....17...4..865...7954.8......2...1.6.,25,53,13,3,1,1,0,3,2,Expert,
73.4.18.......53.......6.454...587.21....3.....2.1.........2..3...8.........6425.,26,39,16,0,0,0,0,0,0,Easy,
.843....2.......6.2......4....4...3.7..83.1....1...5.46..2...7342....61..53.....8,27,44,10,0,0,0,0,0,0,Easy,
.................6..49.......7.8.1..5...1.36.8...53..47.1...59.6...3..1...8..7...,23,43,15,0,0,0,0,0,0,Easy,
.572.8.1.........9...375....2...9..5.....724....4.....1.........95.82..4..49.3...,25,54,18,1,0,4,0,5,2,Expert,
.39.7....16..38..9.789...13.......6.2...1..........5........97...1.86.....672...1,26,87,20,5,0,0,0,8,14,Expert,
5.6..2...9..7...25...3...7..1.5....2...1.....6...2..34......7.9....1...6...6.954.,25,79,8,2,0,0,0,6,8,Expert,
..48.5.2...72......2.94..8.27....6..9.3.....2......4.....49.3...5........893...6.,25,40,19,1,0,4,0,3,2,Expert,
...7..4.3.9.........4......4..29.1...72..3....6..7....3..9....5..16...74.5.31.2..,25,35,20,1,0,0,0,1,0,Expert,
.87...2....3.....8....3...13...78...57.2...1...21....9.1...752..29.....6.........,24,43,12,1,0,3,1,2,0,Expert,
...9..4..4.8..7....3..4...23......8..2........81..3........42.6..92..1..26..8.3.7,25,41,15,0,0,4,0,0,0,Intermediate,
8...21............6......4..18.5..3...39..8..56.2.....3.9...6.2.82...3......8..51,25,39,17,0,0,0,0,0,0,Easy,
